DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,State,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-01,8.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-02,8.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-03,7.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-04,7.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-05,6.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-06,5.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-07,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-08,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-09,4.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-10,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-11,4.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2021-12,4.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-01,5.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-02,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-03,4.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-04,4.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-05,4.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-06,4.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-07,4.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-08,4.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-09,4.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-10,4.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-11,5.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,2022-12,4.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-01,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-02,8.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-03,8.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-04,8.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-05,8.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-06,8.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-07,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-08,8.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-09,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-10,8.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-11,8.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2013-12,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-01,9.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-02,8.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-03,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-04,8.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-05,8.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-06,8.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-07,8.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-08,8.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-09,8.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-10,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-11,8.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2014-12,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-01,8.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-02,8.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-03,8.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-04,8.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-05,8.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-06,8.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-07,8.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-08,8.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-09,8.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-10,8.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-11,8.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2015-12,8.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-01,8.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-02,8.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-03,8.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-04,8.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-05,7.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-06,7.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-07,8.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-08,8.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-09,7.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-10,7.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-11,7.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2016-12,7.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-01,7.7,b
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-02,7.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-03,7.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-04,7.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-05,7.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-06,6.8,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-07,7.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-08,7.4,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-09,7.0,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-10,6.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-11,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2017-12,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-01,6.2,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-02,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-03,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-04,6.3,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-05,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-06,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-07,6.1,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-08,5.9,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-09,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-10,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-11,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2018-12,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2019-01,5.7,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2019-02,5.6,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2019-03,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2019-04,5.5,
ESTAT:EI_LMHR_M(1.0),21/02/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,BE,2019-05,5.3,
